000061, SEQID 14452, CYCLE 017 7500, SIZE 4127232, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000062, SEQID 14453, CYCLE 018 0000, SIZE 4133888, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000063, SEQID 14454, CYCLE 018 0500, SIZE 4137984, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000064, SEQID 14455, CYCLE 018 1000, SIZE 4136960, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000065, SEQID 14456, CYCLE 018 1500, SIZE 3705856, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000066, SEQID 14457, CYCLE 018 2000, SIZE 4146176, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000067, SEQID 14458, CYCLE 018 2500, SIZE 3568128, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000068, SEQID 14459, CYCLE 018 3000, SIZE 4106240, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000069, SEQID 14460, CYCLE 018 3500, SIZE 3762176, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000070, SEQID 14461, CYCLE 018 4000, SIZE 4144640, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000071, SEQID 14462, CYCLE 018 4500, SIZE 3569664, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
